Diet,Pronotum,Mass0,Delta_smi,Song_week1
72,2.445192308,0.23943,0.029461481,8.238272625
72,2.533653846,0.24074,0.043471423,8.813289762
72,2.4625,0.18333,0.026236782,5.746203191
72,2.548076923,0.2221,0.02428059,9.212138754
72,2.375,0.20046,0.04742754,10.72489601
72,2.360576923,0.21533,0.045426846,8.086410275
72,2.442307692,0.21346,0.030967993,10.154363
72,2.444230769,0.19389,0.004109507,8.318498321
72,2.384615385,0.19952,0.013274533,8.318254329
72,2.466346154,0.23147,0.017283128,8.467162258
72,2.279807692,0.16773,0.049662785,9.994789711
84,2.294230769,0.18767,0.024957824,10.3397728
84,2.342307692,0.17724,0.03440125,9.129021851
84,2.342307692,0.20359,0.047263239,9.735660442
84,2.504807692,0.17295,0.044750368,3.295836866
84,2.605769231,0.25412,0.060848087,9.178436823
84,2.390384615,0.1801,0.013782647,6.971668605
84,2.288461538,0.17211,0.031621962,8.791486027
84,2.336538462,0.19907,0.03031292,5.267858159
84,2.283653846,0.18968,0.037050034,6.09356977
84,2.177884615,0.16224,0.020667564,8.679482094
84,2.256730769,0.1704,0.037995739,8.806723555
84,2.433653846,0.24977,-0.012245295,0
84,2.346153846,0.19696,0.047230563,9.683464129
84,2.308653846,0.22365,0.026214783,9.390910396
84,2.076923077,0.17896,-0.013104745,0
84,2.241346154,0.21003,-0.003746424,9.181323423
12,2.288461538,0.20073,-0.019712745,7.379008128
12,2.154807692,0.17373,-0.014883141,4.158883083
12,2.481730769,0.2082,0.001673521,6.695798917
12,2.596153846,0.22102,-0.001540355,0
24,2.390384615,0.19456,0.006323803,0
24,2.460576923,0.20082,-0.026599053,0
24,2.456730769,0.21122,-0.012936484,0
24,2.461538462,0.21532,0.014323471,0
36,2.625961538,0.25365,0.024578013,6.746412129
36,2.335576923,0.19719,0.026289332,0
36,2.356730769,0.17386,0.016261609,1.791759469
36,2.283653846,0.21013,-0.007545226,6.226536669
48,2.466346154,0.21958,0.015954501,5.164785974
48,2.232692308,0.15777,0.023796692,6.56526497
